Year,Education,City_University,Police_Department,Youth_and_Community_Development,Social_Services
1980,2583266480,483883105,704174580,,2742864864
1981,2716782965,487567721,714051376,,2896414331
1982,2988915089,527744544,799110580,,3249466433
1983,3230827880,170071848,864317471,,3519479136
1984,3633515990,192348998,961629363,,3887041527
1985,4015819863,217035049,1092200331,,4227690814
1986,4404973319,224768249,1189186298,,4571033599
1987,4818904930,242990651,1325463081,,4637919047
1988,5271906536,259017598,1436734331,,4719574463
1989,5770819631,266214791,1513082373,,5067829968
1990,6384840693,298502442,1621682201,36956483,5619520021
1991,6694187766,312808618,1634789857,40850507,6393316092
1992,6626289410,458489880,1688028105,47550927,6828088381
1993,7212682139,571345965,1798517482,64446593,7086633839
1994,7560988840,353075935,1838639405,67737029,7280854140
1995,7862873735,348073617,2038648069,65136824,7434242989
1996,7835001649,347715381,2325067928,48453946,7251426004
1997,8085126808,354056375,2453042533,86396254,5715053485
1998,8812493525,363997315,2595222684,88405773,5226687224
1999,9478352291,376943144,2845151283,108441360,5150589892
2000,10674456773,383851005,3085518027,122406105,5409323161
2001,11545119411,392936213,3275051967,138576790,5685674217
2002,11715014880,417837931,3578458499,141385066,5928325802
2003,12672863565,443654104,3448353393,144022476,6080045069
2004,13061366373,492888592,3429796819,236383213,6582053309
2005,13776018386,566612901,3756723907,238020929,7169458589
2006,14794254341,550365753,3627797785,279372849,6889289752
2007,15748016177,577201314,3657778224,280185916,7403415430
2008,16855124653,620730375,3940063734,364266692,8657475146
2009,17774246699,658483658,4242507534,354146456,8298153829
2010,18411207279,718788667,4420305519,381489604,8469758054
2011,18862234832,736092103,4559495864,318831578,8048749750
2012,19129084158,750475699,4631506247,299967237,9373481882
2013,19128734168,801891309,4658350435,307731199,9478836394
2014,18672172505,852920152,4669342271,368053995,9474918454
2015,20457511110,904050361,4896334549,419393769,9745753028
2016,21973688201,955775205,5075080640,508135145,9345924176
2017,23317602305,1067116800,5312163257,549820517,9501094797
2018,25026392457,1087244959,5480431760,620742309,9853246905
2019,26905467180,1114118133,5668823293,697619241,10188334878
2020,27903294638,1116522798,5785046467,783648904,10408734036
