Year,Murder,Robbery,Total_Felony_Offenses
2000,673,32562,184652
2001,649,28202,162908
2002,587,27229,154809
2003,597,25989,147069
2004,570,24373,142093
2005,539,24722,135475
2006,596,23739,128682
2007,496,21809,121009
2008,523,22401,117956
2009,471,18601,106730
2010,536,19486,105115
2011,515,19717,106669
2012,419,20144,111147
2013,335,19128,111335
2014,333,16539,106722
2015,352,16931,105453
2016,335,15500,101716
2017,292,13956,96658
2018,295,12913,95883
2019,319,13371,95606
2020,468,13106,95593
